"","adverts","sales"
"1",10.256,330
"2",985.685,120
"3",1445.563,360
"4",1188.193,270
"5",574.513,220
"6",568.954,170
"7",471.814,70
"8",537.352,210
"9",514.068,200
"10",174.093,300
"11",1720.806,290
"12",611.479,70
"13",251.192,150
"14",97.972,190
"15",406.814,240
"16",265.398,100
"17",1323.287,250
"18",196.65,210
"19",1326.598,280
"20",1380.689,230
"21",792.345,210
"22",957.167,230
"23",1789.659,320
"24",656.137,210
"25",613.697,230
"26",313.362,250
"27",336.51,60
"28",1544.899,330
"29",68.954,150
"30",785.692,150
"31",125.628,180
"32",377.925,80
"33",217.994,180
"34",759.862,130
"35",1163.444,320
"36",842.957,280
"37",125.179,200
"38",236.598,130
"39",669.811,190
"40",612.234,150
"41",922.019,230
"42",50,310
"43",2000,340
"44",1054.027,240
"45",385.045,180
"46",1507.972,220
"47",102.568,40
"48",204.568,190
"49",1170.918,290
"50",689.547,340
"51",784.22,250
"52",405.913,190
"53",179.778,120
"54",607.258,230
"55",1542.329,190
"56",1112.47,210
"57",856.985,170
"58",836.331,310
"59",236.908,90
"60",1077.855,140
"61",579.321,300
"62",1500,340
"63",731.364,170
"64",25.689,100
"65",391.749,200
"66",233.999,80
"67",275.7,100
"68",56.895,70
"69",255.117,50
"70",566.501,240
"71",102.568,160
"72",250.568,290
"73",68.594,140
"74",642.786,210
"75",1500,300
"76",102.563,230
"77",756.984,280
"78",51.229,160
"79",644.151,200
"80",15.313,110
"81",243.237,110
"82",256.894,70
"83",22.464,100
"84",45.689,190
"85",724.938,70
"86",1126.461,360
"87",1985.119,360
"88",1837.516,300
"89",135.986,120
"90",237.703,150
"91",976.641,220
"92",1452.689,280
"93",1600,300
"94",268.598,140
"95",900.889,290
"96",982.063,180
"97",201.356,140
"98",746.024,210
"99",1132.877,250
"100",1000,250
"101",75.896,120
"102",1351.254,290
"103",202.705,60
"104",365.985,140
"105",305.268,290
"106",263.268,160
"107",513.694,100
"108",152.609,160
"109",35.987,150
"110",102.568,140
"111",215.368,230
"112",426.784,230
"113",507.772,30
"114",233.291,80
"115",1035.433,190
"116",102.642,90
"117",526.142,120
"118",624.538,150
"119",912.349,230
"120",215.994,150
"121",561.963,210
"122",474.76,180
"123",231.523,140
"124",678.596,360
"125",70.922,10
"126",1567.548,240
"127",263.598,270
"128",1423.568,290
"129",715.678,220
"130",777.237,230
"131",509.43,220
"132",964.11,240
"133",583.627,260
"134",923.373,170
"135",344.392,130
"136",1095.578,270
"137",100.025,140
"138",30.425,60
"139",1080.342,210
"140",799.899,210
"141",1071.752,240
"142",893.355,210
"143",283.161,200
"144",917.017,140
"145",234.568,90
"146",456.897,120
"147",206.973,100
"148",1294.099,360
"149",826.859,180
"150",564.158,150
"151",192.607,110
"152",10.652,90
"153",45.689,160
"154",42.568,230
"155",20.456,40
"156",635.192,60
"157",1002.273,230
"158",1177.047,230
"159",507.638,120
"160",215.689,150
"161",526.48,120
"162",26.895,60
"163",883.877,280
"164",9.104,120
"165",103.568,230
"166",169.583,230
"167",429.504,40
"168",223.639,140
"169",145.585,360
"170",985.968,210
"171",500.922,260
"172",226.652,250
"173",1051.168,200
"174",68.093,150
"175",1547.159,250
"176",393.774,100
"177",804.282,260
"178",801.577,210
"179",450.562,290
"180",26.598,220
"181",179.061,70
"182",345.687,110
"183",295.84,250
"184",2271.86,320
"185",1134.575,300
"186",601.434,180
"187",45.298,180
"188",759.518,200
"189",832.869,320
"190",56.894,140
"191",709.399,100
"192",56.895,120
"193",767.134,230
"194",503.172,150
"195",700.929,250
"196",910.851,190
"197",888.569,240
"198",800.615,250
"199",1500,230
"200",785.694,110
